ID,ID_str,Text,attitude,user or not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383241769739976716,1383241769739976716,Kay is in the back sleep. Didn’t finish the movie or the hookah 😭 I-,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381784122104905734,1381784122104905734,"@JD3_____ Do it now man, make it a hookah lounge or something smoker friendly then convert that shit",positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406346519742197760,1406346519742197760,Men can’t even enjoy hookah in peace. SMH,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460705269122576386,1460705269122576386,"@lizyourfav PLS RT🍾🎉 Brunch + Mimosas + Drink Specials + Hookah  #BrunchaholicsAnonymous Reservations/Info: 713.955.8946 
https://t.co/nY8p74rnHa",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466805408668995593,1466805408668995593,.@AfroB_ is joined by @OfficialNiniola and @busiswaah on Amapiano-infused single #Shisha 🎉 https://t.co/slrbZx9h9a https://t.co/ZEREPBUGKx,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595264510411014144,1595264510411014144,I didn’t flake and I finally got some hookah with my Leo bro!!,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380949760878772228,1380949760878772228,"I know my neighbors hate me! As soon as it’s nice out, I’m grilling everything! Here I come w my big ass speaker &amp; hookah! 🤣",positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627474151547056128,1627474151547056128,Nun finna go buy me a new hookah,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450691082375680000,1450691082375680000,"Niggas passing the same hooka to ten different ppl and staring at each other? AND there ain’t no bitches in sight?? Nigga I’d leave that sausage fest soooooo quicc😭

-uppers",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617662711705530370,1617662711705530370,@creeshernandez Like the day at the hookah lounge “ Juan I’m sorry I can’t talk right now I’m mad” 😂,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544084628511899653,1544084628511899653,Going home and hook my hookah up,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461529075521044481,1461529075521044481,@RyssaBadAss A hookah bar. It’s dope,positive,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561100355882160130,1561100355882160130,everybody know imma hookah addict???,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486211433075458049,1486211433075458049,Play some slow jams &amp; smoke some hookah will always be my vibe,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373316775031488519,1373316775031488519,@thagoldenbarbie the whole hookah scene is a scam,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433858203155148813,1433858203155148813,Hookah smog alert all night along I-285,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545979536575238144,1545979536575238144,What it mean when the dj smoking hookah. ???,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509938074016440334,1509938074016440334,did she hit the hookah while you were asleep,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486162320669777924,1486162320669777924,@Tae_Sims609 When i walk in to the door ima need you to put the lights on me and put on my them song city girls shisha,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432735082033422337,1432735082033422337,@BSOLZ_ Idk how you see this tuff ass Hookah Donic pic and your first thought is to hate,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458259890200367105,1458259890200367105,wanna smoke some hookah but don’t want to set up my hookah,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508133527690305541,1508133527690305541,@PiklizPapi I’m already with 2 shot of patron n a hookah already 😜😜 https://t.co/zh1rPn1Gji,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409642344995983363,1409642344995983363,Got my hookah yeah It’s vibes wherever whenever,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406238023512170498,1406238023512170498,@PartyMarlyDC @smokejumpersdc Like loud smoke or hookah smoke,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528380834465579008,1528380834465579008,@SStartender  really has the best HOOKAH in town !!!!! It’s so smooth,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407555972965482498,1407555972965482498,#FULLHOUSE every Friday at Venus Nightclub in #Providence #RhodeIsland  Doors at 9pm #FREESHOTS! 📽️📽️🥃🥃#CLUB #NIGHTLIFE #DANCING #HIPHOP #DOMINICAN #PACKED #MOVIE #AMC #TEAMDESACATOO #MUSIC #DJ #FREEDRINKS #COMEEARLY #HOOKAH #PARTY #LIT #GOODVIBES #RESERVENOW https://t.co/LuNsDITDvx,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519169397797052420,1519169397797052420,I only like hookah when I’m with my friend,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511500850983751690,1511500850983751690,@LowKeyUHTN So you don’t need the hookah !,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479997746828427270,1479997746828427270,Henny &amp; Hookah would be nice tonight.,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388269510038278147,1388269510038278147,My new hookah is so cute it’s my favorite color 💜💜😊,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568333859191668736,1568333859191668736,Atlanta im here! Where the Hennessy &amp; Hookah ? 😆,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611776282802397192,1611776282802397192,"i don’t wanna smoke hookah ina club, bitch i wanna smoke WEED. tf",other,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420180527764721666,1420180527764721666,"""I LIVE A HEALTHY LIFESTYLE."" 
Hits hookah, then vape, then lights cigarette angrily",negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527309828858605569,1527309828858605569,I’m a stop tagging places I go cuz I seriously don’t want yal niggas coming through talking bout “where the hookah &amp; Hennessy at?”🤣,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401636277791952903,1401636277791952903,"The party at a hookah lounge in a strip mall was ending when one or more vehicles “pulled up and began to fire into the crowd,"" police said.

https://t.co/EDI7JVOKK4",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622112143620415488,1622112143620415488,free my people from the shackles of going to the hookah lounge. i have a fat ass headache after every single time https://t.co/EXdNGuDjrk,negative,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491476855765016577,1491476855765016577,"@_yourztrulyz PLS RT🍾🎉 Brunch + Mimosas + Hookah #Valentine #SuperBowl Watch Party #BrunchaholicsAnonymous Reservations/Info: 713.955.8946 
https://t.co/m9I5lfvU0C",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519813785573371904,1519813785573371904,Let me get in the tank so I can light this hookah up,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447664231520874504,1447664231520874504,About to sit out on my patio watch the rain and smoke hookah 😮‍💨,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399190854112354313,1399190854112354313,Niggas who wouldnt even think to touch cigarettes cus they're deadly casually smoking hookah in their house,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388962967635496965,1388962967635496965,Y’all smoke hookah I smoke weed we are not the same,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464450003536125953,1464450003536125953,If any of my friends see this I want a hookah for Christmas please and thank you 😊,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490104834103689218,1490104834103689218,@Teziaa1 So hookah yo medication?😂,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402050506638381059,1402050506638381059,In the mood to hookah with a fine dude and blow smoke in his mouth. 💨💨,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467198400869326856,1467198400869326856,"@NUyirwoth @AidenKaliisa @Pliam_ @HappySylvia6 @GimonoMaureen @LapeaceDiane @BobiwineU @Naksclaire People think every smoke you inhale causes Cancer, I don’t understand where they get these theories, if that was the case I bet every Jamaican(weed), and Arabian(Shisha) would be suffering from Lung Cancer, ain’t it?",positive,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408959736737845251,1408959736737845251,Niggas said all they see on my story everyday is henny and hookah 😂😂,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630934924357238786,1630934924357238786,"i needa go check out the juicy crab on howell mill 🤣🤣 i heard they got good drinks, hookah and food + you get a lil surprise ghetto entertainment sometimes 😭😭",other,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631836209583407104,1631836209583407104,I must not smoke enough hookah,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564822484251283457,1564822484251283457,"Hookah, drugs, alcohol, no exercise",neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520976426035425280,1520976426035425280,I just be in here smoking my hookah &amp; sippin on a lil dranky drank lol,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435023756250992652,1435023756250992652,Hookah is not gender specific 🤦🏽‍♀️🤦🏽‍♀️🙄🙄 some ppl are so annoying.,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523144823548485632,1523144823548485632,@FanumTV Rip hookah,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518047471821336576,1518047471821336576,@rayessbae The one that serve hookah? Shit ghetto af,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455299515318034435,1455299515318034435,"@nomoravng @schwartzjaeger @TernasylLuter @QuaddeBajeena Nah the hookah ain't orbal, the vapes are though",neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480763379342053376,1480763379342053376,@SaucySantana_ Shisha getting a music video?,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399532970864779270,1399532970864779270,"Females go to another city, post a vid of them smoking hookah and say “[insert city] was vibe.”",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438046472591876096,1438046472591876096,"A THOUSAND PEOPLE ARE DYING EVERY WEEK?!

What’s going on back home man?

Are you lot gonna demand more from this Goverment, or does your Shisha pipe and flippin pint matter more?!

#COVID19 https://t.co/cBle40YuOD",negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610495749275500546,1610495749275500546,I gotta find other hookah bars on the north cause I’m not going to plush 😂,neutral,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471314586154450950,1471314586154450950,All you bitches do is beg and smoke hookah and eat crabs 😂,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435052535237292032,1435052535237292032,I wonder why I be buzzing off this hookah shit. I got the cbd one 🤣,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569411117830602754,1569411117830602754,Hookah don’t do shit but make you gotta go shit lol,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528029176762179584,1528029176762179584,Let me set this hookah and go chill by the pool with a drink 🤗,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482421978015408128,1482421978015408128,Where The Shisha?🌬🍃 https://t.co/sWdcpfL6xI,other,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625667321422307330,1625667321422307330,@3baby_p Lmfaooo go to shisha,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461162266221375490,1461162266221375490,Does going to a hookah lounge have the same stigma as going to a club?,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502514518722809859,1502514518722809859,Blunts over hookah every time,neutral,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394078397320605696,1394078397320605696,"Lol yesterday I landed at 2, went to grab food and hookah at 5, but somehow I ain’t make home til 6am",neutral,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464960940886134785,1464960940886134785,@SonOfGuido Shisha,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1383248750370385927,1383248750370385927,tired of going out i wish I was laid up  smoking hookah and watching movies.. 🥺🥺🥺🥺🥺🥺,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499236543294283778,1499236543294283778,I can just taste the hookah 😭😭😭,neutral,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536034577940156420,1536034577940156420,Need a hookah girl ASAP in Buckhead.,positive,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481088689044430855,1481088689044430855,i need some coal for my hookah,neutral,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397923374588780547,1397923374588780547,"GEMINI Happy Hour
4pm-9pm 
CIGARS/Hookahs 
JB ATLANTIC
9624 Forte Meade Road Laurel MD
#hookah #dmvwineevents #dmv #cigar #dmvhookah #dmvcigars #happyhour #gemini #geminiseason #thursdayvibes https://t.co/wU2GxVOCmu",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456371183004303364,1456371183004303364,@Words4rmCharles It is. Hookah ain’t it.,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499100574473760768,1499100574473760768,I can’t wait to get another hookah.,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1456817219489439754,1456817219489439754,At this point Hookah is all I want,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591999050123206656,1591999050123206656,I wanna make me a hookah &amp; I am.!,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533626988191268866,1533626988191268866,might order me a new hookah because lord knows i miss hitting the damn hookah🥹,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568312860794621954,1568312860794621954,"@kylebeezy_ PLS RT🍾🎉 Non Stop Brunch + Mimosas + Drink Specials + Hookah + #SunDAYFUNday #BrunchaholicsAnonymous Reservations/Info: 713.955.8946
https://t.co/cWjfaCzmQc",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427546559013703683,1427546559013703683,"#OffTheHOOKahSundays 
This Sun 8/22 Come Check Out The Vibes @blueondelmar 
Doors: 7P-12A 
Ladies FREE Hookah w Booth Reservations 💨 
Text: 314.761.7834 @ Blue Ultra Lounge https://t.co/opAxWNtNL2",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480024611936878593,1480024611936878593,@skotterbutt Frolic is definitely still going on tonight in SF! I'm going to sit this month out and stay comfy with some hookah at home. 💨☁️☁️☁️,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635084232640073729,1635084232640073729,i b high asf off the hookah weed,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471908996630126596,1471908996630126596,"@sinsbyken_ Okay, so it’s not just me. I really had to sit and think if I had even heard anybody talk about them 😂 I don’t even smoke hookah, but the aestheticssss",neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627475288719257602,1627475288719257602,Bron really called him Hookah 😂😂😂,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613768688678707200,1613768688678707200,Why are women so against straight men smoking hookah I’ll never understand it 😂,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479692250489708545,1479692250489708545,"Took the words right out of my mouth. Give me a hookah, some wine, a few trees 🍃 and some cartoons, i ain’t going Nowhere. https://t.co/4LC9F2jxHY",positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548870873704271872,1548870873704271872,Hookah throats “ 🤣,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535179088218005504,1535179088218005504,@HughJeffnerr I’ve seen women in jersey actually bring there newborn to the lounge while smoking hookah 1ft away lol. I was so confused how the baby got in cause I got ID’d lol.,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519830226930388994,1519830226930388994,@SoGorgeousLulu And Ima smoke 💨 my hookah 😒🤣,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461155668493312003,1461155668493312003,"Step on me, throw me into the hookah",positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.55E+18,1.55E+18,What yâ€™all doing this weekend? Darty vibes at the crib Saturday . Drinks. Hookah. Section. And UNO. UNO is the ONLY game Iâ€™m interested in playing.,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48E+18,1.48E+18,Hookah at home ðŸ¥°ðŸ¥°,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.44E+18,1.44E+18,"Alcohol &amp; hookah don't excite me no more, maybe cause I faced all my demons &amp; I'm not depressed no more!",negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.57E+18,1.57E+18,Coconut coals burn better for hookah,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.38E+18,1.38E+18,I still donâ€™t know how to smoke hookah...it will never happen sigh,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.39E+18,1.39E+18,Everything except hookah ðŸ˜‚,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.56E+18,1.56E+18,Drake such a hookah hoochie,neutral,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.58E+18,1.58E+18,"need to find me somewhere to go later when I get off , just want some food and hookah and drinks at a chill spot .",positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.42E+18,1.42E+18,@wash_daddy Bro smh me eitherâ€¦Just lq hookah and vibes ðŸ¥´,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.41E+18,1.41E+18,Yeahhhhh I think Iâ€™m done smoking hookah... Ima still use my personal one for ouid though ðŸ˜…,neutral,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,"Shooting inside Virginia hookah lounge leaves 1 dead, 4 wounded - Raw Story - Celebrating 18 Years of Independent Journalism https://t.co/97zW3FozBe",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.61E+18,1.61E+18,Hookah and a drink.,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.42E+18,1.42E+18,what itâ€™s like living in atlanta! ðŸ˜­ hookah everywhere! when i went home and spots aint have hookah i left ASAP. what do you mean??? https://t.co/GZ2T8H3iBc,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.38E+18,1.38E+18,@AmMm0613 I think thatâ€™s the only time I can mix liquor and be coool smoke weed hookah and everything still regular ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.39E+18,1.39E+18,I feel like we need to leave hookah for the hoes lmao Grown ass men donâ€™t have no business sucking on them hookah sticks blowing Oâ€™s ðŸ¤£ðŸ¤£,negative,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.49E+18,1.49E+18,@thatgirlKDL Iâ€™m prepared Sunday after hookah house gs wherever,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.46E+18,1.46E+18,"I havenâ€™t smoked hookah in a minute, Iâ€™m doing good",positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.44E+18,1.44E+18,I wanna have a Airbnb drink and hookah  vibe and games with a small group of friends,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.52E+18,1.52E+18,"@_Nasiawasia Okayyy. My kinda girl lol we got.           the address, prospect park, Kamp, Parma, uptown hookah, Bar 2200, Atomic bottle.",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.53E+18,1.53E+18,Could you enjoy yourself at a party without being in a section or at a table? No bottle service at all? No hookah?,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.43E+18,1.43E+18,"Inhale the hookah, exhale the bullshit.",positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.46E+18,1.46E+18,@papito_anml Do both ðŸ˜‚ and try some new hookah  flavors from https://t.co/hMfO7RLG7P,other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.50E+18,1.50E+18,"Buy Different Hookah Water Pipe
Water pipes smoking give you the smoothest rips! Back in the day, you had pretty much two types of bongs, a bong and the gigantic bong. 
Order now at:-https://t.co/1jufMEF0ON

#bongs #marijuanamania #hookahbar #smoking_challenge #tobacco #waterpipe https://t.co/exkf8dbpM6",other,not user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48E+18,1.48E+18,My hookah bussing tonight,positive,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
